NAID,Level,Title,Date,Accession,Scope (truncated)
256605009,fileUnit,"1948: De Ment, Jack THRU Lathrop, Elbert C.", to ,,
256605552,fileUnit,"1948: General Electric Company THRU Allison Division, General Motors Corporation", to ,,
256480777,fileUnit,AAI Corporation THRU Aerojet-General Corporation, to ,,
256604405,fileUnit,"Abandoned Applications: Barger, William R. THRU Miller, Burton F.", to ,,
256603800,fileUnit,"Abandoned Applications: Smith, Lloyd E. THRU Willcox, Frederick P.", to ,,
256603196,fileUnit,"Abandoned Applications: Sperry Research Corp. & Sperry Gyroscope Co. THRU Olsen, Marlow W.", to ,,
256607458,fileUnit,"Abandoned, Decated, Plant, Etc.: La Forge, Federick B. THRU Joy, Fred L.", to ,,
256606777,fileUnit,"Abandoned, Decated, Plant, Etc.: Michael, Edward N. THRU Gibbs, Harry D. and Conover Courtney", to ,,
256608139,fileUnit,"Abandoned, Decated, Plant, Etc.: Schechter, Milton S. & La Forge, Frederick B. THRU Academy of Motion Picture Arts and Sciences", to ,,
256481562,fileUnit,Aerojet-General Corporation THRU Aktiengesellschaft v. United States, to ,,
256483148,fileUnit,Aluminum Company of America THRU American Steel and Wire Company of New Jersey, to ,,
256483949,fileUnit,"American Telephone and Telegraph Company and Western Electric Company, Inc. THRU Anzalone, Alfred M.", to ,,
256561879,fileUnit,"Anton J. Polcer THRU Presenz, Cecil S.", to ,,
256484769,fileUnit,"Apel, Louis F. THRU Atlas, David", to ,,
256584695,fileUnit,"Arthur Ticker and Herman S. Preiser THRU Travor, Bruce W. and Pitney, Lennord L.", to ,,
256485605,fileUnit,"Atlas, David THRU Azola, Joseph R., Lucius, John D. Tate, Edwin H., and Lyon, Calvin M.", to ,,
256486440,fileUnit,"B. Welson & Co., Inc. THRU Barber-Greene Co.", to ,,
256487222,fileUnit,"Barber, Hartley E. and North American Rockwell Corp. THRU Battelle Memorial Institute", to ,,
256488001,fileUnit,"Battelle Memorial Institute THRU Bekker, Mieczyslaw G.", to ,,
256488780,fileUnit,"Belanger, Albert P. THRU Bendix Aviation Corporation", to ,,
256489581,fileUnit,"Bendix Aviation Corporation THRU Ronald Berger, Jerome P. Saul, Ming Hui Chen, and Richard J. Cohen", to ,,
256490382,fileUnit,"Berger, Samuel THRU Bjorksten Research Laboratories, Inc.", to ,,
256491183,fileUnit,"Black, Charles M. THRU The Boeing Company", to ,,
256530112,fileUnit,Bob S. Hu and Steven M. Conolly THRU Hughes Aircraft Company, to ,,
256492006,fileUnit,"Boeing Company, The THRU Bowersett, Charles F.", to ,,
256492829,fileUnit,"Bowersett, Charles F. THRU Brixner, Berlyn B., Klein, Morris M., Winkler, Max A.", to ,,
256493652,fileUnit,"Brna, Theodore G., Sedman, Charles B. THRU Brush, Milton R.", to ,,
256494407,fileUnit,"Brushenko, Anatoli THRU Burgess, Arthur A. Jr.", to ,,
256495162,fileUnit,"Burgess Battery Company THRU J. W. Byrum, W. C. Hale, R. G. Herrmann, C. E. Moore, J. E. Vance", to ,,
256495917,fileUnit,"CAE Electronics Ltd. THRU Calkins, Vincent P., Earl S. Funston and James A. McGurty", to ,,
256497858,fileUnit,"Cecil, Eugene L. Jr. THRU Michael C. Chervenak", to ,,
256498527,fileUnit,"Chesapeake Laser Systems, Inc. THRU Ciba Products Corp.", to ,,
256499160,fileUnit,"Ciba Products Corp. THRU Clutz, Garland W. and Garono, Louis E.", to ,,
256499856,fileUnit,"Coakwell, Charles A., Jr. THRU Colt's Patent Fire Arms Mfg. Co.", to ,,
256500711,fileUnit,"Colt's Patent Fire Arms Mfg. Co. THRU Cook, Harvey A.", to ,,
256501566,fileUnit,"Cook, Herbert D. THRU Cozzoli, Michael", to ,,
256502423,fileUnit,"Crabb, Robert P.; Unger, Robert A. and Gilbreath, Jim A. THRU Curry, George G., Dresser, John C., Moeller, James A.", to ,,
256503104,fileUnit,"Curry, Herman H. THRU Drs. Joyce K. Czop and Michael J. Janusz", to ,,
256503796,fileUnit,"D-Cycle Power Systems, Inc. THRU Davis, Merle H. and Woodberry, David L.", to ,,
256583263,fileUnit,Daniel W. Tedder THRU William G. Thilly and Phouthone Keogavong, to ,,
256504430,fileUnit,"Davis, Merlin THRU Deeter, Everett L.", to ,,
256540449,fileUnit,"Dean A. Le and Kazuhiko Tatemoto THRU Leo, Bruno S. and Chang P. Liu", to ,,
256505065,fileUnit,"Deevy, Stephen D. THRU Dieu, Loyd F.", to ,,
256602060,fileUnit,"Design, Foreign Reissue, Plant and Holding: Radkowsky, Alvin J. THRU Marick, Louis NMI", to ,,
256602629,fileUnit,"Design, Foreign Reissue, Plant and Holding: Robillard Jean THRU Freedman, Israel L.", to ,,
256505699,fileUnit,"Differential Wheel Corporation THRU Dougherty, Wiley E.", to ,,
256506467,fileUnit,"Douglas Aircraft Company, Inc. THRU Duggan, Sam H.", to ,,
256496564,fileUnit,"Douglas W. Call and Charlie Tucker THRU Carlon, Hugh R. and Harvey Tannenbaum", to ,,
256507237,fileUnit,"Duggar, Llewellyn G. THRU Dzwons, George S.", to ,,
256508007,fileUnit,"E-Systems, Inc. THRU Errol P. Eernisse, Cecil E. Land and Jay B. Snelling", to ,,
256508727,fileUnit,"Effenberger, Frank V. THRU Engelhard Corp.", to ,,
256509523,fileUnit,"Engelhard Hanovia, Inc. THRU Ezekiel, Herbert M. and Raymond Spain G.", to ,,
256510315,fileUnit,"F.A.B. Mfg. Co. THRU Federal Telecommunication Laboratories, Inc.", to ,,
256511013,fileUnit,"Federal Telecommunication Laboratories, Inc. THRU F'Geppert, Erwin", to ,,
256511711,fileUnit,"Fiala, John P. and Barditch, Irving F. THRU Fletcher, James C., Admin of NASA", to ,,
256512622,fileUnit,"Fletcher, James C., Admin of NASA THRU Fraas, Foster", to ,,
256514444,fileUnit,"G & A Aircraft, Inc. THRU George R. Gavalas and Constantin E. Megiris", to ,,
256541845,fileUnit,"Gary M. Lindahl THRU Lloyd, Roger A.", to ,,
256515880,fileUnit,General Electric Company THRU General Electric Company, to ,,
256516598,fileUnit,General Electric Company THRU General Electric Company, to ,,
256517313,fileUnit,General Electric Company THRU General Electric Company, to ,,
256518094,fileUnit,General Electric Company THRU General Motors Corporation, to ,,
256518876,fileUnit,General Motors Corp. THRU General Motors Corporation, to ,,
256519658,fileUnit,"General Motors Corporation THRU A. K. Goosh, C. Gandhi", to ,,
256521269,fileUnit,"Goldbeck, A. T. THRU Goza, Lou H.", to ,,
256522097,fileUnit,"Graab, Judson W., et al THRU Groggins, Philip H.", to ,,
256522973,fileUnit,"Groggins, Philip H. THRU Daniel L. Gysling et al", to ,,
256523849,fileUnit,"H. Kock and Sons, Inc. THRU Hall, Jewell M. and Hugh S. McCullough, Jr.", to ,,
256525384,fileUnit,"Hare, Aaron H. THRU Hauser, Adolph F.", to ,,
256526149,fileUnit,"Hauser, Albert H. THRU Helmick, Paul F.", to ,,
256526914,fileUnit,"Helminak, John E. THRU Heyson, Harry H.", to ,,
256527678,fileUnit,"Hiatt, Michael, H. THRU Hoffman, James I.", to ,,
256528489,fileUnit,"Hoffman, James W. THRU Honeywell, Inc.", to ,,
256529301,fileUnit,"Honeywell Information Systems, Inc. THRU Ming-Ta S. Hsu", to ,,
256497211,fileUnit,Hugh R. Carlon and Rex M. Pritt THRU Dr. Cayre, to ,,
256530928,fileUnit,"Hughes Aircraft Company THRU Hysteresis Motor Research, Inc.", to ,,
256531745,fileUnit,IDOS Corporation THRU International Business Machines Corporation, to ,,
256532404,fileUnit,International Business Machines Corporation THRU International Standard Electric Corporation, to ,,
256533064,fileUnit,"International Technical Associates THRU Izenour, George C.", to ,,
256533723,fileUnit,"J & L Steel Barrel Company THRU Jeppson, Morris R. & David W. Garbellano", to ,,
256552484,fileUnit,"James A. Moore, Douglas Robello THRU Leszek R. Motowidlo and Pradeep Haldar", to ,,
256581036,fileUnit,"James E. Strain and Harley H. Ross THRU Sussman, Harry", to ,,
256534387,fileUnit,"Jeppson, Morris R. & Richard F. Post THRU Johnson, Richard L.; Siegel, Bernard; Aerospace Corporation, The", to ,,
256577505,fileUnit,"Joel A. Solver, Alan C. Stanton THRU Sperry Products, Inc.", to ,,
256537400,fileUnit,"John J. Kibler, G. Cassin THRU Wolfgang Knauer", to ,,
256515161,fileUnit,"John R. Gavaler, Timothy T. Braggins THRU General Electric Company, Steinmayer, Elwin G. Jr., Williams, Ralph O.", to ,,
256524360,fileUnit,"John W. Hall THRU Hardy, Wayne and William F. Quinlivan", to ,,
256535052,fileUnit,"Johnson, Richard N. THRU Juvinall, Gordon L.", to ,,
256520440,fileUnit,"Joseph M. Giacomini and David E. Lichy THRU Gold, Steven H.", to ,,
256535715,fileUnit,"K-D Lamp Co. THRU Kay, Thomas D.", to ,,
256536559,fileUnit,"Kaye, Seymour M. THRU Khym, Joseph X.", to ,,
256538095,fileUnit,"Knauf, Jack William THRU Kosmo, Joseph J.; Tucker, Elton M.", to ,,
256538781,fileUnit,"Kosonocky, Stephan THRU Kazuo Kyuma, Sze-Keung Kwong and Amnon Yariv", to ,,
256599293,fileUnit,"Kurtis S. Willden, Ken Goodno THRU Wise, Donald L.; Schwope, Arthur D. & Sell, Kenneth W.", to ,,
256539480,fileUnit,"L.C.N. Corporation THRU Landen, David", to ,,
256541147,fileUnit,"Leon, Henry A., et al. THRU Lind, Kenneth R.", to ,,
256513535,fileUnit,"Lewis M. Fraas, James E. Avery and Gerald R. Gigard THRU Fyr-Fyter Company, The", to ,,
256542543,fileUnit,"Lo, Hewitt, H. F. THRU David C. Look", to ,,
256543198,fileUnit,"Look, George F. and Frank M. Ballentine, Jr. THRU Lytle, R. Jeffrey; Lager, Darrel L.; Laine, Edwin F.; and Davis, Donald T.", to ,,
256543851,fileUnit,"M/A Com Omni Spectra, Inc. THRU Malloy, John H.", to ,,
256544580,fileUnit,"Mallory, Kenneth B. THRU Markus, Harold & Joseph M. McCaughey", to ,,
256545311,fileUnit,"Markwardt, Lorraine J. THRU Marzzetta, Louis A.", to ,,
256546046,fileUnit,"Masahide Naonaka, Earl Hautala & Merle L. Weaver THRU Massachusetts Institute of Technology", to ,,
256547508,fileUnit,Massachusetts Institute of Technology THRU Brian J. Mauquardt, to ,,
